FoodCategory,FoodName,per100grams,Cals_per100grams,KJ_per100grams,LinkToko,UserId,ProductId,Image,Score
CannedFruit,Canned Mango,100g,65 cal,273 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Canned%20Mango,A3SGXH7AUHU8GW,B001E4KFG0,https://pacificcoastproducers.com/wp-content/uploads/2014/06/HD4-e1462386027325.jpg,2
CannedFruit,Canned Mango,100g,65 cal,273 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Canned%20Mango,A3SGXH7AUHU8GW,B00813GRG4,https://pacificcoastproducers.com/wp-content/uploads/2014/06/HD4-e1462386027325.jpg,3
CannedFruit,Canned Oranges,100g,62 cal,260 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Canned%20Oranges,A3SGXH7AUHU8GW,B000LQOCH0,https://media.gettyimages.com/id/1167352625/photo/mandarin-orange-or-tangerine-husks-is-a-sweet-syrup.jpg?s=612x612&w=0&k=20&c=7506slpS5xd3Ash1P8WHPqY5ZYXr-xKQLstM5KjWs6c=,4
CannedFruit,Canned Peaches,100g,54 cal,227 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Canned%20Peaches,A3SGXH7AUHU8GW,B000UA0QIQ,https://media.gettyimages.com/id/1280036958/photo/food-general.jpg?s=612x612&w=0&k=20&c=7_Z86iWqjRMJvR5moTCNW_FlRIHMxt_b1MLS3YD3QXs=,1
CannedFruit,Canned Pears,100g,35 cal,147 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Canned%20Pears,A3SGXH7AUHU8GW,B006K2ZZ7K,https://media.istockphoto.com/id/546775468/photo/pears-halves-on-a-white-plate-atop-wood-table.jpg?s=170667a&w=0&k=20&c=mAVazl_rSZG3dBMdC9RAcc0yLhdvZmZM2OnvnIJxHtw=,5
Fruits,Banana,100g,89 cal,374 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Banana,A3SGXH7AUHU8GW,B006K2ZZ7K,https://www.daysoftheyear.com/cdn-cgi/image/dpr=1%2Cfit=cover%2Cheight=650%2Cq=70%2Csharpen=1%2Cwidth=956/wp-content/uploads/banana-day1-scaled.jpg,1
Fruits,Grapes,100g,69 cal,290 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Grapes,A3SGXH7AUHU8GW,B006K2ZZ7K,https://www.thespruceeats.com/thmb/l1_lV7wgpqRArWBwpG3jzHih_e8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/what-are-grapes-5193263-hero-01-80564d77b6534aa8bfc34f378556e513.jpg,4
Fruits,Kiwi,100g,61 cal,256 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Kiwi,A3SGXH7AUHU8GW,B000E7L2R4,https://cdns.klimg.com/merdeka.com/i/w/news/2021/03/16/1285289/content_images/670x335/20210316123128-1-ilustrasi-kiwi-004-destriyana.jpg,3
Fruits,Lemon,100g,29 cal,122 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Lemon,A3SGXH7AUHU8GW,B00171APVA,https://cdn1.katadata.co.id/media/images/thumb/2021/08/07/Buah_Lemon-2021_08_07-06_26_53_dd3fd3d05a427079c9ea862895a7f9b5_620x413_thumb.jpg,2
Fruits,Pineapple,100g,50 cal,210 kJ,https://www.tokopedia.com/search?navsource=&sc=2702&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=product&q=Pineapple,A3SGXH7AUHU8GW,B0001PB9FE,https://www.brookstropicals.com/wp-content/uploads/2019/06/Pineapples.jpg,1
